record,task,channel,templateHp,replicate,highpass,condition,timeSec,reference,noisyBeforeHighpass,recovered
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.046875,5.46363362629428,3.41608145494473,3.3164946211666
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.05078125,4.74711843995403,2.17560360998782,2.07097676112736
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.0546875,3.7961244614283,0.771673770569283,0.744566404122367
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.05859375,2.67561350709779,-0.725313406883034,-0.619929015142534
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.0625,1.47158552030419,-2.21635254064037,-1.95047643932441
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.06640625,0.277896165498779,-3.58535023676991,-3.16673505634619
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.0703125,-0.818399963663415,-4.74069847140776,-4.19394258991762
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.07421875,-1.7496726091848,-5.63627559604097,-4.97926257408747
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.078125,-2.47505353038007,-6.26933200893341,-5.50154027701266
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.08203125,-2.98056626973207,-6.66699794780671,-5.77847067633793
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.0859375,-3.27226956016881,-6.87078266794109,-5.85791471329544
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.08984375,-3.36493400455432,-6.92630643039868,-5.79225505131913
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.09375,-3.27036396799219,-6.86273752866378,-5.61249146213833
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.09765625,-2.98966267920793,-6.68065418285742,-5.31134563202641
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.1015625,-2.51233017244005,-6.33065837565186,-4.8550209026065
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.10546875,-1.82255178829756,-5.73681814126376,-4.18189313099695
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.109375,-0.91034485629013,-4.8291577628065,-3.22227300054534
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.11328125,0.216567723274138,-3.56687589227874,-1.93121397625192
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.1171875,1.52451960251399,-1.95311983769615,-0.327802554222752
