record,task,trial,cueIndex,cueTime,cueDir,targetIndex,targetTime,targetDir,clickIndex,clickTime,clickDir,cueToTargetSec,targetToClickSec,inBounds,rawClipped,peakToPeak,maxJump,highPeak,highJump,accepted
VisualCogA_Task-2,2,30,69686,272.20703125,-1,70253,274.421875,-1,70657,276,-1,2.21484375,1.578125,1,1,2000,2000,1,1,0
VisualCogA_Task-2,2,31,71942,281.01953125,-1,72510,283.23828125,1,72820,284.44921875,1,2.21875,1.2109375,1,0,237.399862668803,34.0276188296332,0,0,1
VisualCogA_Task-2,2,32,74111,289.4921875,-1,74678,291.70703125,1,74977,292.875,1,2.21484375,1.16796875,1,0,182.162203402762,29.2362859540701,0,0,1
VisualCogA_Task-2,2,33,76263,297.8984375,1,76831,300.1171875,1,77165,301.421875,1,2.21875,1.3046875,1,1,2000,2000,1,1,0
VisualCogA_Task-2,2,34,78456,306.46484375,-1,79023,308.6796875,-1,79407,310.1796875,-1,2.21484375,1.5,1,0,176.150148775464,20.6912336919204,0,0,1
VisualCogA_Task-2,2,35,80692,315.19921875,-1,81259,317.4140625,-1,81633,318.875,-1,2.21484375,1.4609375,1,0,166.598001068132,18.4328984512092,0,0,1
VisualCogA_Task-2,2,36,82916,323.88671875,1,83484,326.10546875,1,83786,327.28515625,1,2.21875,1.1796875,1,0,105.86709391928,27.1610589761194,0,0,1
VisualCogA_Task-2,2,37,85073,332.3125,1,85640,334.52734375,1,85984,335.87109375,1,2.21484375,1.34375,1,0,359.197375448234,29.9382009613183,0,0,1
VisualCogA_Task-2,2,38,87273,340.90625,-1,87841,343.125,1,88206,344.55078125,1,2.21875,1.42578125,1,0,234.775310902571,22.0340276188294,0,0,1
VisualCogA_Task-2,2,39,89490,349.56640625,1,90058,351.78515625,1,90474,353.41015625,1,2.21875,1.625,1,0,799.084458686198,26.1844815747311,0,0,1
VisualCogA_Task-2,2,40,91758,358.42578125,-1,92326,360.64453125,1,92651,361.9140625,1,2.21875,1.26953125,1,0,453.406576638437,20.5691615167468,0,0,1
VisualCogA_Task-2,2,41,93939,366.9453125,-1,94506,369.16015625,-1,94898,370.69140625,-1,2.21484375,1.53125,1,0,1044.26642252232,28.7785152971694,0,0,1
VisualCogA_Task-2,2,42,96183,375.7109375,-1,96751,377.9296875,-1,97092,379.26171875,-1,2.21875,1.33203125,1,0,149.172198062104,20.5386434729533,0,0,1
VisualCogA_Task-2,2,43,98376,384.27734375,-1,98943,386.4921875,-1,99284,387.82421875,-1,2.21484375,1.33203125,1,0,824.261844815747,20.2639810788128,0,0,1
VisualCogA_Task-2,2,44,100572,392.85546875,-1,101140,395.07421875,1,101558,396.70703125,1,2.21875,1.6328125,1,0,306.09597924773,20.0808728160524,0,0,1
VisualCogA_Task-2,2,45,102844,401.73046875,-1,103412,403.94921875,1,103720,405.15234375,1,2.21875,1.203125,1,1,2000,2000,1,1,0
VisualCogA_Task-2,2,46,105005,410.171875,-1,105573,412.390625,-1,105916,413.73046875,-1,2.21875,1.33984375,1,0,341.649500267033,24.4754711223011,0,0,1
VisualCogA_Task-2,2,47,107202,418.75390625,-1,107769,420.96875,1,108082,422.19140625,1,2.21484375,1.22265625,1,0,155.61150530251,22.0645456626228,0,0,1
VisualCogA_Task-2,2,48,109366,427.20703125,-1,109934,429.42578125,-1,110318,430.92578125,-1,2.21875,1.5,1,0,199.404898146029,24.8416876478218,0,0,1
VisualCogA_Task-2,2,49,111602,435.94140625,1,112170,438.16015625,-1,112552,439.65234375,-1,2.21875,1.4921875,1,0,538.399328603037,19.8062104219119,0,0,1
VisualCogA_Task-2,2,50,113839,444.6796875,1,114407,446.8984375,-1,114786,448.37890625,-1,2.21875,1.48046875,1,0,650.919356069276,27.4357213702601,0,0,1
VisualCogA_Task-2,2,51,116072,453.40234375,-1,116639,455.6171875,1,117012,457.07421875,1,2.21484375,1.45703125,1,0,845.716029602502,136.171511406119,0,1,0
VisualCogA_Task-2,2,52,118296,462.08984375,1,118863,464.3046875,1,119159,465.4609375,1,2.21484375,1.15625,1,0,476.661326009003,21.8204013122759,0,0,1
VisualCogA_Task-2,2,53,120444,470.48046875,1,121012,472.69921875,-1,121381,474.140625,-1,2.21875,1.44140625,1,0,171.023117418174,24.7501335164416,0,0,1
VisualCogA_Task-2,2,54,122665,479.15625,-1,123232,481.37109375,1,123591,482.7734375,1,2.21484375,1.40234375,1,0,716.868848706798,22.8885328450449,0,0,1
VisualCogA_Task-2,2,55,124877,487.796875,-1,125445,490.015625,1,125769,491.28125,1,2.21875,1.265625,1,0,657.938506141756,17.7309834439613,0,0,1
VisualCogA_Task-2,2,56,127058,496.31640625,1,127625,498.53125,1,127995,499.9765625,1,2.21484375,1.4453125,1,0,579.35454337377,17.944609750515,0,0,1
VisualCogA_Task-2,2,57,129278,504.98828125,1,129846,507.20703125,-1,130218,508.66015625,-1,2.21875,1.453125,1,0,247.959105821317,18.3108262760359,0,0,1
VisualCogA_Task-2,2,58,131503,513.6796875,1,132070,515.89453125,1,132455,517.3984375,1,2.21484375,1.50390625,1,0,359.411001754787,20.1724269474325,0,0,1
VisualCogA_Task-2,2,59,133739,522.4140625,1,134307,524.6328125,-1,134682,526.09765625,-1,2.21875,1.46484375,1,0,247.074082551308,21.8814373998628,0,0,1
