record,task,cueDir,timeSec,commonMode,midlineContrast,lateralContrast
VisualCogA_Task-1,1,-1,0.078125,-1.8823587456475,3.7505407882989,1.01908620221466
VisualCogA_Task-1,1,-1,0.08203125,-1.97035669223016,3.92418401648623,0.615423283902575
VisualCogA_Task-1,1,-1,0.0859375,-2.09833117362618,4.0659875301684,0.201833193679824
VisualCogA_Task-1,1,-1,0.08984375,-2.23487742997204,4.15930814935052,-0.160414786946969
VisualCogA_Task-1,1,-1,0.09375,-2.3660505298055,4.20102243067288,-0.417805532370998
VisualCogA_Task-1,1,-1,0.09765625,-2.49877387704511,4.20093131213209,-0.539691721216239
VisualCogA_Task-1,1,-1,0.1015625,-2.65687283055554,4.17154097482103,-0.518078793718775
VisualCogA_Task-1,1,-1,0.10546875,-2.86869161557152,4.12789089330134,-0.359089171625318
VisualCogA_Task-1,1,-1,0.109375,-3.15433624147098,4.08768970360623,-0.0825884945521072
VisualCogA_Task-1,1,-1,0.11328125,-3.51111302447595,4.06727903435198,0.277332061011728
VisualCogA_Task-1,1,-1,0.1171875,-3.90250163342074,4.07886963717003,0.677604466206013
VisualCogA_Task-1,1,-1,0.12109375,-4.26242536289664,4.11054721234915,1.07611213556909
VisualCogA_Task-1,1,-1,0.125,-4.51837985276274,4.13665790691876,1.44690497363917
VisualCogA_Task-1,1,-1,0.12890625,-4.6171131329919,4.13724111624789,1.78485883768502
VisualCogA_Task-1,1,-1,0.1328125,-4.54532411849664,4.10259520681341,2.10146470427962
VisualCogA_Task-1,1,-1,0.13671875,-4.33137812448816,4.03556813631303,2.413934558033
VisualCogA_Task-1,1,-1,0.140625,-4.03409654567591,3.96095177183655,2.72622009568744
VisualCogA_Task-1,1,-1,0.14453125,-3.72490832129674,3.89960099856504,3.01360613410514
VisualCogA_Task-1,1,-1,0.1484375,-3.4634132141513,3.86612728825015,3.23462449122733
VisualCogA_Task-1,1,-1,0.15234375,-3.28091543496495,3.85038048134028,3.3679013572141
VisualCogA_Task-1,1,-1,0.15625,-3.1815666798716,3.83391727929169,3.41362786615979
VisualCogA_Task-1,1,-1,0.16015625,-3.14347471873554,3.78706430626923,3.38303186608042
VisualCogA_Task-1,1,-1,0.1640625,-3.12040091748406,3.68006446685983,3.30693309385977
VisualCogA_Task-1,1,-1,0.16796875,-3.06588859040324,3.49655195302978,3.20543501574549
VisualCogA_Task-1,1,-1,0.171875,-2.95226847832561,3.246048441189,3.07379926871366
VisualCogA_Task-1,1,-1,0.17578125,-2.78751653003573,2.97027791499005,2.91001366118079
VisualCogA_Task-1,1,-1,0.1796875,-2.60827179529452,2.7301224937533,2.73363821380713
VisualCogA_Task-1,1,-1,0.18359375,-2.46194741091718,2.59659488658525,2.56288553634808
VisualCogA_Task-1,1,-1,0.1875,-2.37364821555382,2.61765988350195,2.38425485248086
VisualCogA_Task-1,1,-1,0.19140625,-2.34529931642067,2.81457148324556,2.16152484798894
VisualCogA_Task-1,1,-1,0.1953125,-2.36536510154797,3.16011762856288,1.86183671385939
VisualCogA_Task-1,1,-1,0.19921875,-2.42016234352756,3.58657773510517,1.49648700912809
VisualCogA_Task-1,1,-1,0.203125,-2.51119953642182,4.01121430298194,1.10298668624176
VisualCogA_Task-1,1,-1,0.20703125,-2.6489758383941,4.35751751395594,0.724523558490502
VisualCogA_Task-1,1,-1,0.2109375,-2.84610530275732,4.58045627499999,0.389699993997217
VisualCogA_Task-1,1,-1,0.21484375,-3.09733875185479,4.6944549294629,0.121760674030014
VisualCogA_Task-1,1,-1,0.21875,-3.37920830254425,4.73125430215778,-0.0695183071322765
VisualCogA_Task-1,1,-1,0.22265625,-3.65836207613048,4.7170810253045,-0.174658255288732
VisualCogA_Task-1,1,-1,0.2265625,-3.90151909519061,4.66279268831103,-0.180669551199066
VisualCogA_Task-1,1,-1,0.23046875,-4.08118527309253,4.57564362032524,-0.084157794823053
VisualCogA_Task-1,1,-1,0.234375,-4.1750127894417,4.46451624216786,0.0988461148701472
VisualCogA_Task-1,1,-1,0.23828125,-4.16394401616671,4.34951943085451,0.333234092882192
VisualCogA_Task-1,1,-1,0.2421875,-4.03599588415605,4.25764337331284,0.575124487572666
VisualCogA_Task-1,1,-1,0.24609375,-3.79324280528715,4.20531020238817,0.790266881776044
VisualCogA_Task-1,1,-1,0.25,-3.45154127009062,4.19933437335952,0.961192944333954
VisualCogA_Task-1,1,-1,0.25390625,-3.04135129666761,4.2323503606618,1.08912154493255
VisualCogA_Task-1,1,-1,0.2578125,-2.59815066675956,4.28611642265286,1.19738876884561
VisualCogA_Task-1,1,-1,0.26171875,-2.16000509876605,4.3313848813275,1.29729428251449
